Normal Random,Path Compressed Random
2977,1529
8397,4102
46704,12462
13178,10011
7496,5734
6329,3758
20613,13064
13503,9260
15908,10512
5432,4400
1178,921
7395,4480
4400,3469
18327,5135
3977,2981
12651,9521
636,465
3811,2869
24195,17283
5361,4279
8003,6122
630,484
16916,11647
2093,1728
6189,4804
2912,2350
9462,5528
2940,2117
3431,2565
466,398
3849,3023
4910,3759
17232,5370
31075,16603
4011,3044
3731,2728
4055,3069
875,554
14824,6983
3765,2255
17598,11798
2471,1836
140333,5770
3003,2251
2154,1744
2635,2091
4594,2982
2857,2245
18742,13000
7381,5870
7155,5416
2741,2083
8860,6369
7553,5061
1876,1347
3821,2713
18921,5135
8779,6649
3611,2661
2331,1826
1235,989
6874,4223
11833,8708
3057,1967
8481,2466
4235,2532
3214,2361
2579,1772
7867,5570
3438,2578
2287,1656
1778,1028
7045,5352
4941,3643
8669,6363
4129,3331
1515,1163
8822,6810
8307,5634
17022,12644
15733,10095
12690,7254
4296,2434
3510,2745
6839,5197
8059,6215
3159,2065
1327,970
3497,2647
5653,4234
2948,2336
6450,4847
2932,2289
4941,3350
1996,1579
18945,6593
10708,8300
7936,3556
1873,1523
28802,5047
