Normal Random,Path Compressed Random
1662,24
582,38
1428,64
2567,42
697,40
316,71
507,57
200,64
122,54
421,38
1589,22
1175,22
503,47
1850,27
2154,31
772,51
534,44
664,69
1153,51
449,46
1115,15
1857,18
633,65
829,76
407,30
870,29
364,37
3401,19
1126,25
834,25
1085,27
359,26
624,29
1523,45
391,46
1271,42
3591,25
732,26
429,35
2214,46
800,36
635,108
200,46
255,95
2551,22
654,27
351,109
2349,60
1386,36
454,73
1296,56
159,40
1246,125
283,74
1042,45
2537,29
2050,27
1266,41
1800,22
725,28
1201,37
2069,27
2041,44
173,31
398,21
804,23
619,65
756,43
1934,19
861,59
1707,21
482,43
1571,38
392,95
824,45
2043,76
2574,28
827,56
254,52
360,38
156,79
4962,19
891,22
431,80
2402,28
204,78
1146,33
187,79
220,48
188,48
1276,26
322,59
1406,28
808,20
451,45
2126,33
149,37
341,56
454,68
1284,37
